UserType,ID,LastName,FirstName,Address,Email,PhoneNum,Question1,Question2
Customer,200,Skywalker,Anakin,"Death Star, Imperial Suite 1",darth.vader@empire.gal,555-DARK-1,4c58b988710ecc775e37707a8b646829e912bcf51608a8db8b37aad52196ccb0f19607f2ab73196de8c5a0c2a9553626fc965a1e5c2ef540ac61e91bce1c0f0e,fb29ab772187f81a312a8abbe12560ce564d04c29b98dbfd82431e8d0fe03cfc2319756c0870f61676cd1e1e22c98ff40a082455d21efcff7a85a2ba4472c7f5
Customer,691,Protocol,C-3PO,Millennium Falcon Cargo Bay,c3po@droid.gal,555-DROID,f989b49f26906eebe73d11e29ae332a2d1f32ad252db64c1eaaf30f52b277afabdbe0d100d016ed25010b6e26bcc593b9c67f600bb70bea25ae9610de4e4a449,0e4a07f313193928dd7a995491f4beebf4e4ad7b5b8d6b3d3d2db962a2e720a8e707a543739192adc40c1bf7d8f68f80372e96f56158e4f2a6c3f26fd5e17413
Customer,921,Astromech,R2-D2,"X-Wing Socket, Rebel Base",beep.boop@rebel.gal,555-BEEP,6054c796a403c3e68d69127bc6e1d8c6fe35069b105efdc27163b93a3cd968dd6fa2939fc112a3d083529a3a3f1d012430de0166f57fe7961b7b6952db1aace8,936b49f641410483ac946a9f62e6881318b2102e114719e4b629e90c57024d83900685223848871d7b37c9a3a80b2a7c7dd4de3730ec2d4919e8430275ae19c3
Customer,998,Wookiee,Chewbacca,Millennium Falcon Co-Pilot Seat,chewie@kashyyyk.gal,555-RRRGH,a6ea527ccbb71e36404ee451d12b7bb518f6bfabd6e0bd33cc000a21124b3c37c5cda69ec5ede0be38259286004da05edc1889b9e6dffd1a09325a5cf1b703b1,a95b2fdf251ce814ab82db095eda6e92e86911cfbe16dede576a21c5f9296d2a4eab6195910d17c5e1ba827f2e088430721c4ed19eb366e9698c2a44e438af7a
Customer,737,Yoda,Master,"Dagobah System, Swamp Hut",speak.backwards@jedi.gal,555-JEDI,90757e8856342da9ab505c454a778d20429f318742cfa8da57fc763fe6e87da86a881f097836ad0e981a56c332571f81f72204362a7ab333f8b794435eff6a01,d56e2890eb6172e4d2957caf9b0fb47b58eb50a14daa31386eb36840a66042b8da74fbba1143a468d8af6ec43546330f861599bc75bfcfdf6b6342b00be778f3
Customer,909,Fett,Boba,"Slave I, Docking Bay 94",boba@bounty.gal,555-HUNT,a03039f94d9f8d639fbfb126e2e97762716747a89d8a53b973dcf5f13a051699e9690689e1e5015c22e20709b137ede53985aa587a45bf146c1d97a4608841c0,d6203e03495d815e31c4887f5b2a9d6ae4b753366ea5e4b017181e2eb2c758fdeede4adedbc80a2fc494e4d7748211fa97f7cd0e609f1952dbecf20d40309328
Customer,569,Hutt,Jabba,"Jabba's Palace, Tatooine",jabba@hutt.gal,555-HUTT,211f8ecbbeedabfd2d10bf1bd2589dbced63c03c8bdee954e4bc740c98eaf535f519006cfe5ae2860caa100561fe8d7e93e70e443bbaefd08f7d2ea35806601a,626123d64f5b4181a3ea69aa43d968e7ab375ddc7e5067c57f6dfdc7a5cc5b557ae8bbe9f1ee15c47ceca4284cf693fd75d74b29a634bf933b2c67b71fb66ba4
Customer,271,Calrissian,Lando,"Cloud City, Administrator's Suite",lando@bespin.gal,555-CLOUD,a5e95a4ed49043bca583e76eeee66c3b0b1dd754d0a3304aaae21f87c733803d6756ffe5558539429d89bae3c0ead29f097a234d90f91be2ad87d62a6e209350,df09aec85d056853f2d9da9c8627db3507f39820594efe303980ac45339f80e2e1430f0f7e639635e7f6b12d185367a3938eaa7b0f2f84cbd857a7375617affc
Customer,609,Djarin,Din,"Razor Crest, Currently in Flight",mando@guild.gal,555-THIS-IS-THE-WAY,3e24652c151bf5faa93204ecbed13315e92a9a654df69279929fe117739e7be6a2f83f572ddc5278bbdfd824cc8f987d6debe520147942cd6840518bb69f0606,47cabe61bd6a82a429d4ba3eef07456f6d69114f9ba15aa5ceceadf1c00925c17cabccea0daa6647c336abf1c90787abb0da61c0ca2cd9228128cf9df88abd7e
Customer,978,Palpatine,Sheev,"Imperial Palace, Coruscant",emperor@empire.gal,555-SENATE,6054c796a403c3e68d69127bc6e1d8c6fe35069b105efdc27163b93a3cd968dd6fa2939fc112a3d083529a3a3f1d012430de0166f57fe7961b7b6952db1aace8,7a45e8a1d0ec886d0b32a082e7be0f694dd76d096b302489d16a28a2ae702c9924bb517b19df33969303ea230ad7af2241d24e0cd69e5d826399a0b72763e26e
